speed;rate;vol;wear;rough;cost;victories;defeats;draws
66.41;115.82;5000;31.75;0.65;4.94;855;144;0
77.75;50;5000;35.78;0.49;10.08;32;967;0
56.92;80.09;5000;31.79;0.62;6.16;840;159;0
52.03;54.79;5000;32.86;0.55;8.11;505;494;0
69.45;50;5000;34.81;0.51;9.56;164;835;0
66.6;114.34;5000.19;31.73;0.65;4.98;865;134;0
76.71;50;5000;35.66;0.5;10.01;49;950;0
52.22;66.61;5000;32.27;0.59;6.99;667;332;0
51.51;61.72;5000;32.49;0.58;7.4;621;378;0
56.09;84.3;5000.02;31.67;0.63;5.9;888;111;0
50.36;57.39;5000;32.69;0.56;7.79;560;439;0
59.84;88.33;5000.1;31.61;0.63;5.79;914;85;0
67.5;50;5000;34.57;0.51;9.44;193;806;0
57.18;50;5000;33.46;0.53;8.88;349;650;0
54.69;74.61;5000;31.95;0.61;6.46;770;228;1
56.04;79.86;5000;31.78;0.62;6.16;841;158;0
56.34;50;5000;33.39;0.53;8.84;363;636;0
78.87;50;5000;35.9;0.49;10.15;17;981;1
60.23;50;5000;33.74;0.52;9.03;302;697;0
69.84;149.32;5000;33.48;0.66;4.38;347;652;0
74.46;149.04;5000.02;33.44;0.66;4.47;356;643;0
50.8;55.26;5000;32.8;0.55;8.02;524;475;0
73.62;50;5000;35.31;0.5;9.82;102;897;0
49.39;53.53;5000;32.86;0.55;8.17;504;495;0
55.71;76.67;5000;31.89;0.61;6.35;797;202;0
54.02;71.22;5000;32.08;0.6;6.68;718;280;1
78.7;50;5000;35.88;0.49;10.14;20;979;0
74.78;138.69;5000;32.85;0.66;4.65;510;489;0
54.97;75.89;5000;31.91;0.61;6.38;789;210;0
66.43;50;5000;34.44;0.51;9.37;211;788;0
55.81;50;5000;33.35;0.53;8.81;373;626;0
51.47;50;5000;33.09;0.53;8.64;416;583;0
68.37;50;5000.02;34.68;0.51;9.49;182;817;0
52.21;67.32;5000;32.24;0.59;6.93;676;323;0
65.25;150;5000;33.87;0.67;4.33;285;714;0
54.25;71.58;5000;32.07;0.6;6.66;723;276;0
69.12;143.94;5000;33.09;0.66;4.44;419;580;0
77.11;50;5000;35.71;0.5;10.04;43;956;0
52.2;62.66;5000;32.45;0.58;7.33;632;367;0
75.92;50;5000;35.58;0.5;9.96;62;937;0
52.35;61.28;5000;32.52;0.57;7.46;612;387;0
68.98;50;5000;34.75;0.51;9.53;173;826;0
51.58;54.93;5000;32.83;0.55;8.08;512;487;0
63.78;150;5000;34.05;0.67;4.32;261;738;0
65.58;123;5000.04;31.96;0.66;4.74;768;231;0
59.88;89.01;5000;31.6;0.63;5.76;924;75;0
62.45;50;5000;33.98;0.52;9.15;271;728;0
