speed;rate;vol;wear;rough;cost;victories;defeats;draws
79.96;61.56;5565.23;2.02;0.32;19.79;391;608;0
80;50;11020.2;1.62;0.27;44.66;699;300;0
70.84;61.7;5000.03;2.37;0.31;18.66;330;669;0
75.86;50.01;9056.66;1.42;0.27;37.14;907;91;1
79.75;59.06;5105.07;2.15;0.31;18.75;451;548;0
73.49;56.82;5000.02;2.24;0.3;19.16;416;583;0
72.82;149.91;5000.01;3.11;0.37;15.02;2;997;0
78.3;50;9335.06;1.42;0.27;37.85;895;104;0
80;58.79;5026.31;2.17;0.31;18.54;459;540;0
78;149.83;5008.6;2.88;0.37;14.63;68;931;0
72.25;53.14;5000.14;2.19;0.29;19.8;488;511;0
79.91;50.58;5832.28;1.77;0.29;22.42;574;425;0
79.92;51.24;5386.19;1.93;0.29;20.8;542;456;1
79.96;51.94;5001.58;2.08;0.3;19.49;528;471;0
79.58;50;10426.74;1.52;0.27;42.35;776;223;0
74.15;50;9745.42;1.5;0.27;40.62;801;198;0
71.95;56.2;5000.8;2.26;0.3;19.35;408;590;1
76.59;50;8541.18;1.4;0.27;34.58;922;77;0
79.42;65.98;5498.83;2.09;0.33;19.08;385;614;0
80;50;10871.02;1.59;0.27;44.07;717;282;0
65.53;50;5053.57;2.19;0.28;20.96;566;433;0
79.55;55.4;5028.9;2.13;0.3;19.06;488;511;0
73.2;93.84;5000.01;2.56;0.35;15.93;189;810;0
73.65;61.07;5000;2.31;0.31;18.56;365;634;0
